Iteración,Interacción,Fitness,NFE,Población
1,0.0,7980.0,5,5
2,0.0,7980.0,13,6
3,0.0,8091.0,21,6
4,0.0,8091.0,29,6
5,0.0,8091.0,37,6
6,0.0,8091.0,45,6
7,0.0,8091.0,53,6
8,0.0,8091.0,61,6
9,0.0,8091.0,69,6
10,0.0,8111.0,77,6
11,0.0,8111.0,85,6
12,0.0,8111.0,93,6
13,0.0,8111.0,101,6
14,0.0,8111.0,109,6
15,0.0,8111.0,117,6
16,0.0,8111.0,125,6
17,0.0,8111.0,133,6
18,0.0,8111.0,141,6
19,0.0,8111.0,149,6
20,0.0,8111.0,157,6
21,0.0,8111.0,165,6
22,0.0,8111.0,173,6
23,0.0,8111.0,181,6
24,0.0,8111.0,189,6
25,0.0,8111.0,197,6
26,0.0,8111.0,205,6
27,0.0,8111.0,213,6
28,0.0,8111.0,221,6
29,0.0,8111.0,229,6
30,0.0,8111.0,237,6
