Iteración,Interacción,Fitness,NFE,Población
1,0,5651,5,5
2,0,5651,13,6
3,0,6330,21,6
4,0,6330,29,6
5,0,6495,37,6
6,0,6495,45,6
7,0,6552,53,6
8,0,6552,61,6
9,0,6595,69,6
10,0,8375,77,6
11,0,8375,85,6
12,0,8389,93,6
13,0,8389,101,6
14,0,8389,109,6
15,0,8389,117,6
16,0,8389,125,6
17,0,8831,133,6
18,0,8831,141,6
19,0,8874,149,6
20,0,8874,157,6
21,0,8874,165,6
22,0,8874,173,6
23,0,8932,181,6
24,0,9075,189,6
25,-5.55E-06,9081.999994,197,6
26,0,9118,205,6
27,0,9118,213,6
28,0,9118,221,6
29,0,9118,229,6
30,0,9118,237,6
